model,comparison,comparable_questions,same_answer,changed_answer,consistency_%,change_rate_%
granite4:3b,Casual vs Evaluation,100,98,2,98.0,2.0
granite4:3b,Casual + Explain vs Evaluation + Explain,100,98,2,98.0,2.0
granite4:1b,Casual vs Evaluation,95,92,3,96.8421,3.1579
granite4:1b,Casual + Explain vs Evaluation + Explain,99,97,2,97.9798,2.0202
gemma3:270m,Casual vs Evaluation,95,57,38,60.0,40.0
gemma3:270m,Casual + Explain vs Evaluation + Explain,94,74,20,78.7234,21.2766
gemma3:1b,Casual vs Evaluation,99,86,13,86.8687,13.1313
gemma3:1b,Casual + Explain vs Evaluation + Explain,100,89,11,89.0,11.0
gemma3:4b,Casual vs Evaluation,100,97,3,97.0,3.0
gemma3:4b,Casual + Explain vs Evaluation + Explain,100,97,3,97.0,3.0
