model,comparison,question_id,first_answer,second_answer
gemma3:270m,Casual v1 vs Casual v2,5,1,3
gemma3:270m,Casual v1 vs Casual v2,28,2,3
gemma3:270m,Casual v1 vs Casual v2,32,8,3
gemma3:270m,Casual v1 vs Casual v2,79,1,3
gemma3:270m,Casual v1 vs Casual v2,80,4,3
gemma3:270m,Casual v1 vs Casual v2,81,11,1
gemma3:270m,Casual v1 vs Casual v2,92,3,1
gemma3:270m,Casual v1 vs Casual v2,94,1,3
gemma3:270m,Casual v1 vs Casual v2,97,3,1
gemma3:1b,Casual v1 vs Casual v2,24,1,2
gemma3:1b,Casual v1 vs Casual v2,74,4,1
